,Date,DOY,U,Ta,RH min,ETo,hc,growth_stage,Rz,TAW,MAD,RAW,dMAD,Kcb_daily,Kcmax,TEW,REW,fc,few,Precip,Irr,Di_start,Kr,Ke,fewKcmax,Ks,Kco,KeETo,ETa,DP,Di_end,irrigate
47,2005-07-01,182,1.04,35.94,38.58,5.77,0.66,dev,0.6199999999999999,56.172000000000004,0.5,28.086000000000002,28.086000000000002,0.9044117647058825,1.1926425484814778,12,7,0.6502780600926232,0.34972193990737677,0.0,0.0,0.0,1.0,0.2882307837755953,0.41709326567102006,1.0,1.1926425484814778,1.6630916223851848,6.881547504738126,0.0,6.881547504738126,not yet
48,2005-07-02,183,1.18,36.21,37.19,6.02,0.68,dev,0.6299999999999999,57.078,0.5,28.539,28.539,0.9323529411764706,1.1990976710401813,12,7,0.6749417722843907,0.3250582277156093,0.0,0.0,6.881547504738126,1.0,0.2667447298637107,0.38977656380623604,1.0,1.1990976710401813,1.6058032737795382,7.2185679796618905,0.0,14.100115484400018,not yet
49,2005-07-03,184,1.05,36.72,40.96,6.02,0.69,dev,0.6399999999999999,57.98400000000001,0.5,28.992000000000004,28.992000000000004,0.9602941176470589,1.1873673945625371,12,7,0.7172904926319379,0.2827095073680621,0.0,0.0,14.100115484400018,0.0,0.0,0.3356800511816743,1.0,0.9602941176470589,0.0,5.780970588235294,0.0,19.881086072635313,not yet
50,2005-07-04,185,1.37,36.3,44.86,7.29,0.71,dev,0.6499999999999999,58.89000000000001,0.5,29.445000000000004,29.445000000000004,0.9882352941176472,1.1857478297628625,12,7,0.7507436013986741,0.24925639860132587,0.0,0.0,19.881086072635313,0.0,0.0,0.29555523369602915,1.0,0.9882352941176472,0.0,7.204235294117648,0.0,27.08532136675296,not yet
51,2005-07-05,186,1.01,33.73,53.92,6.53,0.73,dev,0.6599999999999999,59.79600000000001,0.5,29.898000000000003,29.898000000000003,1.0161764705882352,1.1564568435287457,12,7,0.8147367792635891,0.18526322073641088,0.0,16.7,27.08532136675296,0.0,0.0,0.214248919474799,1.0,1.0161764705882352,0.0,6.635632352941176,0.0,17.020953719694138,not yet
52,2005-07-06,187,1.44,29.0,55.32,6.53,0.75,dev,0.6699999999999999,60.702000000000005,0.5,30.351000000000003,30.351000000000003,1.0441176470588236,1.163166469127398,12,7,0.8420862093670676,0.15791379063293243,0.0,17.5,17.020953719694138,0.0,0.0,0.18368002627703117,1.0,1.0441176470588236,0.0,6.818088235294118,0.0,6.339041954988254,not yet
53,2005-07-07,188,1.09,29.92,37.15,6.78,0.76,dev,0.6799999999999999,61.60800000000001,0.5,30.804000000000006,30.804000000000006,1.0720588235294117,1.1971079200005807,12,7,0.8390323644712733,0.16096763552872673,0.0,0.0,6.339041954988254,1.0,0.12504909647116902,0.19269563135520562,1.0,1.1971079200005807,0.847832874074526,8.116391697603937,0.0,14.455433652592191,not yet
54,2005-07-08,189,1.3,33.39,32.2,7.29,0.78,dev,0.69,62.51400000000001,0.5,31.257000000000005,31.257000000000005,1.1,1.2134192511973048,12,7,0.8549023898728711,0.14509761012712885,0.0,0.0,14.455433652592191,0.0,0.0,0.17606423343097916,1.0,1.1,0.0,8.019,0.0,22.47443365259219,not yet
55,2005-07-09,190,0.97,36.16,32.6,6.53,0.8,mid,0.7,63.42000000000001,0.5,31.710000000000004,31.710000000000004,1.1,1.2056502791660302,12,7,0.862749971787711,0.13725002821228904,0.0,0.0,22.47443365259219,0.0,0.0,0.1654755348296918,1.0,1.1,0.0,7.183000000000001,0.0,29.65743365259219,not yet
56,2005-07-10,191,1.23,32.12,45.59,6.27,0.8,mid,0.7,63.42000000000001,0.5,31.710000000000004,31.710000000000004,1.1,1.177694850339814,12,7,0.8957837811312035,0.1042162188687965,0.0,22.3,29.65743365259219,0.0,0.0,0.1227349042836686,1.0,1.1,0.0,6.897,0.0,14.254433652592187,not yet
57,2005-07-11,192,1.08,33.09,33.52,6.78,0.8,mid,0.7,63.42000000000001,0.5,31.710000000000004,31.710000000000004,1.1,1.2061345888088328,12,7,0.8621961411167159,0.13780385888328406,0.0,24.0,14.254433652592187,0.0,0.0,0.16621000067046024,1.0,1.1,0.0,7.458000000000001,2.287566347407811,0.0,not yet
58,2005-07-12,193,1.76,27.31,59.98,5.77,0.8,mid,0.7,63.42000000000001,0.5,31.710000000000004,31.710000000000004,1.1,1.1532372133782833,12,7,0.9265054128852303,0.07349458711476975,0.0,0.0,0.0,1.0,0.053237213378283244,0.08475669284262455,1.0,1.1532372133782833,0.3071787211926943,6.654178721192694,0.0,6.654178721192694,not yet
59,2005-07-13,194,1.12,30.63,45.32,6.0,0.8,mid,0.7,63.42000000000001,0.5,31.710000000000004,31.710000000000004,1.1,1.1754616447646686,12,7,0.8985160884593212,0.10148391154067882,0.0,0.0,6.654178721192694,1.0,0.07546164476466855,0.11929044557675846,1.0,1.1754616447646686,0.45276986858801127,7.052769868588012,0.0,13.706948589780705,not yet
60,2005-07-14,195,1.21,32.9,34.94,6.78,0.8,mid,0.7,63.42000000000001,0.5,31.710000000000004,31.710000000000004,1.1,1.205811715713631,12,7,0.862565293817556,0.13743470618244402,0.0,0.0,13.706948589780705,0.0,0.0,0.1657203788604516,1.0,1.1,0.0,7.458000000000001,0.0,21.164948589780707,not yet
61,2005-07-15,196,1.13,32.94,39.62,6.53,0.8,mid,0.7,63.42000000000001,0.5,31.710000000000004,31.710000000000004,1.1,1.1910671776994188,12,7,0.8797166083309205,0.12028339166907953,0.0,0.0,21.164948589780707,0.0,0.0,0.14326559983940435,1.0,1.1,0.0,7.183000000000001,0.0,28.347948589780707,not yet
62,2005-07-16,197,1.0,33.51,36.39,6.27,0.8,mid,0.7,63.42000000000001,0.5,31.710000000000004,31.710000000000004,1.1,1.1962600533139134,12,7,0.873609897507553,0.12639010249244698,0.0,0.0,28.347948589780707,0.0,0.0,0.1511954307459656,1.0,1.1,0.0,6.897,0.0,35.244948589780705,not yet
63,2005-07-17,198,1.55,32.71,36.01,7.04,0.8,mid,0.7,63.42000000000001,0.5,31.710000000000004,31.710000000000004,1.1,1.212080834978798,12,7,0.8554456975743566,0.14455430242564338,0.0,33.1,35.244948589780705,0.0,0.0,0.1752114995838515,0.8885225925644686,0.9773748518209155,0.0,6.880718956819245,0.0,9.025667546599948,irrigate
